Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Does the institution offer at least one sustainability-focused major, degree program, or the ...","The name of the sustainability-focused, undergraduate degree program (1st program)",A brief description of the undergraduate degree program (1st program),The website URL for the undergraduate degree program (1st program),"The name of the sustainability-focused, undergraduate degree program (2nd program)",A brief description of the undergraduate degree program (2nd program),The website URL for the undergraduate degree program (2nd program),"The name of the sustainability-focused, undergraduate degree program (3rd program)",A brief description of the undergraduate degree program (3rd program),The website URL for the undergraduate degree program (3rd program),"The name and website URLs of all other sustainability-focused, undergraduate degree program(s)","Does the institution offer one or more sustainability-focused minors, concentrations or ...","The name of the sustainability-focused undergraduate minor, concentration or certificate (1st ...","A brief description of the undergraduate minor, concentration or certificate (1st program)","The website URL for the undergraduate minor, concentration or certificate (1st program)","The name of the sustainability-focused undergraduate minor, concentration or certificate (2nd ...","A brief description of the undergraduate minor, concentration or certificate (2nd program)","The website URL for the undergraduate minor, concentration or certificate (2nd program)","The name of the sustainability-focused undergraduate minor, concentration or certificate (3rd ...","A brief description of the undergraduate minor, concentration or certificate (3rd program)","The website URL for the undergraduate minor, concentration or certificate (3rd program)","The name, brief description and URL of all other undergraduate-level sustainability-focused minors, ...",Public Notes
Case Western Reserve University,2016-03-25,2016-03-25 15:40:34,stephanie.corbett@case.edu,2.0,Pursuing,True,BA in Environmental Studies,"Environmental studies is a multidisciplinary program that introduces students to the study of human interactions with the non-human world. The program emphasizes the moral, cultural, and political dimensions of environmental problems and solutions that arise from scientific understanding of the environment, bringing to bear the issues and methods of the humanities and social sciences as well as those of the sciences and the professions. The program is designed to serve the needs of students seeking a liberal education or a broad intellectual base for more technical training in environmental sciences. A major requires 30 credit hours of classes.",http://bulletin.case.edu/collegeofartsandsciences/environmentalstudiesprogram/#undergraduatetext,--,,--,--,,--,,True,Minor in Environmental Studies,"Environmental studies is a multidisciplinary program that introduces students to the study of human interactions with the non-human world.  The program emphasizes the moral, cultural, and political dimensions of environmental problems and solutions that arise from scientific understanding of the environment, bringing to bear the issues and methods of the humanities and social sciences as well as those of the sciences and the professions. The program is designed to serve the needs of students seeking a liberal education or a broad intellectual base for more technical training in environmental sciences. The minor requires 15 credit hours.",http://bulletin.case.edu/collegeofartsandsciences/environmentalstudiesprogram/#undergraduatetext,--,,--,--,,--,,--
Chatham University,2016-02-17,2016-02-17 13:05:00,MWhitney@chatham.edu,2.0,Pursuing,True,Sustainability,"""The Bachelor of Sustainability program emphasizes leadership, teamwork, entrepreneurialism, and experience — the very skills that will serve you wherever your future after Chatham may take you. Here, you won't just learn how renewable energy technology works; you'll work with solar panels and windmills. You won't just take business courses; you'll design and operate a business. You won't just read about sustainability; you'll live and learn on a new sustainable campus — the first in the world built from the ground up on the principles of sustainability — and contribute to making it work better. And with these experiences, you'll not only have a deep knowledge of sustainability and its place in the world, but you'll develop a portfolio of accomplishments that will prove your value to any employer.""",http://falk.chatham.edu/bsus/,Environmental Studies,"The main goals of the Environmental Studies (ENV) program are to inform students about the state of the local and global environment, and to provide tools to become personal and professional leaders in combating environmental problems. The ENV program is flexible, allowing students to make Environmental Studies the focus of their degree or incorporate ENV as a minor.",http://www.chatham.edu/academics/programs/undergraduate/environmental/,Environmental Science,"The environmental science (BA) major provides students with an interdisciplinary perspective in order to help them understand a range of environmental issues. In addition to core science courses and labs, students have the opportunity to study policy and ethics in a global perspective. For a student certain of a later career in science, the BS may be more appropriate, but the BA still enables her to demonstrate her capability in this field for work or further study.",http://www.chatham.edu/biology/,"Interior Architecture
http://www.chatham.edu/interior/

Environmental Writing
http://www.chatham.edu/academics/programs/undergraduate/environmental/",True,Environmental Studies,"The main goals of the Environmental Studies (ENV) program are to inform women about the state of the local and global environment, and to provide tools to become personal and professional leaders in combating environmental problems. The ENV program is flexible, allowing students to make Environmental Studies the focus of their degree or incorporate ENV as a minor.",http://www.chatham.edu/academics/programs/undergraduate/environmental/,Environmental K-12 Certification,"The environmental science and environmental education teaching certificate are multidisciplinary, drawing upon the expertise of faculty across all divisions of Chatham University. Students complete a common core of courses and experiences that focus on experiential and service-learning as well as building ecological literacy, problem-solving skills, and a community of environmentally oriented individuals. Students majoring in environmental science complete a concentration in policy, literature, writing or science. Those students seeking certification complete the concentration in science. ",http://www.chatham.edu/academics/programs/undergraduate/education/,Environmental Science Concentration (K-12),The environmental science concentration provides students with an understanding of human impact on ecosystems and methods of improving environmental health and quality as well as analytical tools for scientific measurement. ,http://www.chatham.edu/academics/programs/undergraduate/education/,"Environmental Writing
http://www.chatham.edu/academics/programs/undergraduate/environmental/

Environmental Biology
http://www.chatham.edu/academics/programs/undergraduate/biology/

Environmental Chemistry
https://www.chatham.edu/academics/programs/undergraduate/chemistry/
",--
Clark University,2016-02-24,2016-02-24 15:49:23,jisler@clarku.edu,2.0,Pursuing,True,Environmental Science and Policy,"The ES&P undergraduate track in the Environmental Science major prepares you to deal with the complexities of environmental issues in society. The program provides you with an in-depth understanding of how human activity is impacting the natural environment and provides scientific, social science, and policy perspectives on how these impacts can be managed and mitigated. The strong emphasis on the natural sciences ensures students understand the technical as well as the social aspects of the world’s most pressing environmental issues.",https://www.clarku.edu/departments/es/esp/,International Development & Social Change,"This major will enable you to understand and think critically about the social, political, economic, and cultural dynamics transforming our world. Working with faculty with Ph.D. degrees in anthropology, education, political science, history, to economics, students acquire a broad analytic background in the social sciences. Not simply thinkers, IDSC students become doers prepared to tackle the challenges of global inequity and injustice in the 21st century. ",http://www.clarku.edu/departments/international-development/,Global Environmental Studies,"Global Environmental Studies examines the relationships of people, culture, and society with the biophysical environment. It provides a grounding in the human forces that transform the earth and consequences of this transformation for individuals, society, and well being of the planet. These relationships are explored as they interact through global to local and local to global connections. ",http://www.clarku.edu/departments/geography/undergraduate/gesmajor/index.cfm,,True,Conservation Biology,"Environmental biologists explore the ways in which organisms evolve and interact with one another and their environments. Levels of exploration can range from molecular evolution and genomics to ecosystem level function. Conservation biology makes up one component of this field, focusing on the biological knowledge necessary to preserve biodiversity. Because the loss of biodiversity has reached crisis proportions, we offer a focused curriculum that enables you to bring appropriate biological tools and knowledge to efforts to develop conservation strategies and policies. This curriculum is designed to provide this focus, and to allow you to design a curriculum that will prepare you for research and teaching in environmental and conservation biology.",https://www.clarku.edu/departments/es/ecb/,Earth Systems Science,"ESS examines the structure and function of the parts of the Earth's lithosphere, atmosphere, hydrosphere and biosphere and how these system interact with one another. This integrated science, which focuses on connections between these Earth System components, is at the heart of some of our most pressing physical science and nature-societal issues, including global climate change, water availability, and the loss of biological diversity.

Clark's ESS program emphasizes the patterns and processes across the Earth's surface (to include both land and ocean) serving as an introduction to earth sciences or geosciences. Intensive field study, satellite remote sensing analysis, geographical information science (GISc), and computer simulation are all used as tools for understanding, monitoring, and predicting Earth System behavior. The ESS track of the Environmental Science major trains graduates for a wide range of professional endeavors as well as more advanced studies involving physical geography, to include landscape ecology, land-atmosphere interactions, hydrology, biogeochemistry, remote sensing, and GISc.",--,http://www.clarku.edu/departments/geography/undergraduate/ess.cfm,,--,,--
Clarkson University,2016-02-12,2016-02-12 07:37:52,sep@clarkson.edu,2.0,Pursuing,True,Environmental Science and Policy,"Environmental science and policy brings together the natural and social sciences and applies the principles to environmental problems. It encourages communication between the government, industry, organizations and citizens in an attempt to improve the quality of the environment. As an Environmental Science and Policy student at Clarkson, you'll ask questions like, ""How do we make trade-offs between the demands of society and the needs of nature?"" Then you'll work towards finding those solutions.",http://www.clarkson.edu/esp/index.html,Environmental Health Sciences,"Environmental health science studies the relationship between humans and the environment - mainly the environmental factors that adversely affect human health. Our program focuses on recognizing, evaluating, and controlling these chemical, biological and physical factors. Environment must be thought of in the broadest sense, as to include the natural, built, and social environments.",http://www.clarkson.edu/ehs/index.html,Environmental Engineering,"Environmental engineers provide the knowledge, leadership and guidance needed to improve the quality and ensure the sustainability of our natural world by working to:
Responsibly develop water resources; Minimize the effects of pollution; Eliminate hazardous and solid wastes; and Restore, preserve and sustain the environment
Environmental engineers provide the knowledge, leadership and guidance needed to improve the quality and ensure the sustainability of our natural world by working to:

Our approach also emphasizes teamwork, management, communication, leadership and creative problem solving and hands-on learning. Our excellent placement rate, extensive connections with employers and a first-rate faculty who are teachers and researchers and who include undergraduates in their research.

Our curriculum is designed to provide graduates with engineering knowledge that meets the challenges of a successful professional career.  Science and engineering science courses form the majority of the curriculum for the first two years. These courses provide the foundation for the professionally oriented courses that follow in the junior and senior years.",http://www.clarkson.edu/cee/undergraduate/environmental_engineering.html,http://www.clarkson.edu/green/get_involved/academics.html,True,Minor in Sustainable Energy Systems Engineering:,"Clarkson University offers a Minor in Sustainable Energy Systems Engineering to all students who meet the prerequisite requirements. Our reliance on energy-rich sources of fossil fuels has enabled growth of modern society, increasing our mobility, industrial growth, domestic comfort, abundant food supply, and economic prosperity. Engineers are among the many types of professionals that need to understand the limits of our present energy systems and lead us to a future in which we can continue to provide reasonable energy resources for human quality of life. This minor emphasizes that all engineering disciplines are necessary to develop and assess technologies to both increase the efficiency of our energy use and advance renewable and alternative energy sources.",http://www.clarkson.edu/cses/ses-minor.html,Minor in Sustainable Solutions for the Developing World,A minor in Sustainable Solutions for the Developing World is available to students in any degree program. The minor seeks to employ humanitarian principles toward sustainable solutions that address the conflict that often occurs between economic development and environmental justice predominant in the developing world. A goal of the curriculum is to provide students with the tools to understand issues concerning social justice and sustainability to be used when designing and implementing solutions for the developing world.,http://www.clarkson.edu/ise/ssdw.html,"Environmental Science, Environmental Policy","Clarkson's Environmental Science & Policy BS degree program is a multidisciplinary program that combines a rigorous education in the sciences with a broad policy perspective. Because of its multidisciplinary nature, an ES&P minor would not effectively prepare students in either science or policy. For this reason, the ES&P program offers two minors: environmental science or environmental policy. Both minors require 24 credits of course work. ",http://www.clarkson.edu/esp/minors/index.html,"Additional programs:
Minor - Environmental Health Science - http://www.clarkson.edu/ehs/minor.html
Concentration in Environmental Engineering - http://www.clarkson.edu/cee/undergraduate/environmental%20engineering_concentration.html ",--
Coastal Carolina University,2015-11-20,2015-11-20 15:31:20,sustain@coastal.edu,2.0,Pursuing,--,--,,--,--,,--,--,,--,,True,Environmental Science minor,"The curriculum in the Environmental Science Minor is designed to provide students with
a rigorous interdisciplinary education in environmental science so they will possess the
skills and knowledge needed to find effective, informed and ethical solutions to problems
that involve interactions between physical, chemical, biological, economic and social
factors. The program is designed as preparation for students seeking environmental
careers, including enrollment in graduate programs, in areas including environmental
policy and management, environmental education, and environmental monitoring and
assessment.
",http://www.coastal.edu/marine/enviromentalscienceminor/,Environmental Studies minor,"The Environmental Studies Minor utilizes a multidisciplinary approach to help students
develop their understanding of important environmental issues and potential solutions to
these challenges. Students will develop a basic scientific understanding of how
ecosystems function and how people interact with the natural environment. Students will
also examine environmental issues from a variety of perspectives by taking courses about
the natural environment in a variety of disciplines such as Economics, Philosophy,
Politics & Geography, Recreation and Sports Management, and Sociology.",http://www.coastal.edu/uc/,Certificate in Sustainability,"The combination of awareness, skill sets, and applied experiences with sustainability
cultivated through the certificate program, with the foundational skills from their majors,
will provide students with greater opportunities for career and post-graduate
development, as well as civic engagement in our communities. The Certificate in
Sustainability program is designed to offer students an integrated interdisciplinary
structure to develop diverse competencies and tools for fields in both public and private
sectors, including energy, education, corporations, nongovernmental organizations,
government, and international organizations. The Certificate in Sustainability program
encourages students to critically analyze their chose fields with an eye toward 21st
century problem solving skills for a better tomorrow. ",http://www.coastal.edu/media/academics/catalog/FINAL%202015-2016%20CCU%20UG%20catalog.pdf,,--
Colby College,2016-01-12,2016-01-12 15:54:19,ksbright@colby.edu,2.0,Pursuing,True,Environmental Studies: Policy Concentration,"The interdisciplinary environmental policy major provides an extensive introduction to the study of domestic and international environmental policy. Students combine a foundation course in environmental studies with courses in environmental economics, domestic environmental policy and law, international environmental policy and politics, and courses in environmental science. Diverse electives allow students to explore topics from introductory geographic information systems (GIS) to endangered species policy to environmental and human health. Students complete the Environmental Policy Practicum capstone seminar in the senior year.",http://www.colby.edu/environmentalstudies/,Environmental Studies: Science Concentration,"The interdisciplinary environmental science major also begins with the foundation course in environmental studies and is followed by core courses in environmental economics, biology and ecology, chemistry or physics, geology or GIS, and mathematics. Students select a focus area to explore in depth. ",http://www.colby.edu/environmentalstudies/,Environmental Studies: Interdisciplinary Computation,The major in environmental studies–interdisciplinary computation provides an introduction to environmental studies as a discipline as well as training in computational techniques used in environmental policy and science. ,http://www.colby.edu/environmentalstudies/,,True,Environmental Studies Minor,The environmental studies minor is designed to introduce students to environmental issues and their ramifications in the context of the social and natural sciences. ,http://www.colby.edu/environmentalstudies/,--,,--,--,,--,,--
Colgate University,2016-02-28,2016-02-28 11:21:46,jpumilio@colgate.edu,2.0,Pursuing,True,Environmental Studies,"Colgate's environmental studies program is designed to enhance awareness of the complexity of regional and global environmental issues and to underscore the consequences and impacts of the human experience on the environment. Students in the program learn to think, speak, and write clearly and articulately about environmental issues from a variety of perspectives.

The program is interdisciplinary, and our passionate faculty are drawn from a number of departments. As a result, you get the benefit of instruction from a variety of disciplines and perspectives, as well as the ability to conduct research that crosses traditional disciplinary boundaries.

The program administers five majors:
    Environmental biology
    Environmental economics
    Environmental geography
    Environmental geology
    Environmental studies
",http://www.colgate.edu/academics/departments-and-programs/environmental-studies,Geography,"By studying geography, our students are exposed to the full spectrum of disciplinary subfields ─ physical, human, and nature-society geography as well as basic and advanced geographical techniques.

We also challenge our students to explore critical areas of inquiry: the geopolitics of conflict, climate science, biogeographies of endangered species, public health, urban planning, hazard and disaster mitigation, international development, environmental and social justice, and natural resource management, among others.",http://www.colgate.edu/academics/departments-and-programs/geography,Peace and Conflict Studies,"Peace and Conflict Studies at Colgate dissects and strives to understand the nature of peace, violence, and conflict within human society. Our approach to this monumental task is interdisciplinary, drawing on research, methods, and insights from all disciplines as we build a fuller understanding of human peace and conflict.

We offer our students the opportunity to focus their studies on three distinct areas of specialization within the study of global and regional peace and conflict issues: collective violence, human security, and international social justice. Issues of sustainability and resource scarcity are covered extensively.  These areas of correspond with the concerns of the disciplines and agencies currently assessing conflict and post-conflict societies in the global arena. ",http://www.colgate.edu/academics/departments-and-programs/peace-and-conflict-studies,,--,--,,--,--,,--,--,,--,,--
College of Charleston,2016-02-29,2016-02-29 16:52:57,fisherb@cofc.edu,2.0,Pursuing,--,--,,--,--,,--,--,,--,,True,Environmental Studies Minor,"The environmental studies minor is offered for students who have an interest in learning more about the natural environment and the ecology of the planet, as well as understanding the relationship of political, social, cultural, and economic activities to that environment.",http://im-environmental.cofc.edu/program-information/index.php,Urban Sustainability Concentration,This is a concentration newly developed within Urban Studies that offers students a particularly track in urbanism around sustainability.,http://urbanstudies.cofc.edu/,--,,--,,--
College of the Atlantic,2016-03-23,2016-03-23 11:15:17,ademeo@coa.edu,2.0,Pursuing,True,BA in Human Ecology,"College of the Atlantic offers one degree, the BA in Human Ecology.  At COA, human ecology is understood to be the interdisciplinary study of the relations among humans and their natural, social, and built environments.",http://coa.edu/academics/human-ecology-degree/degree-requirements/,--,,--,--,,--,,True,Farming & Food Systems,"College of the Atlantic's Sustainable Food Systems Program engages students in examining the social, cultural, political, ecological, and economic implications of the ways food is perceived, produced, and consumed.  A Sustainable Food Systems focus facilitates the development of skills, useful to students who choose work in the fields of food and agriculture policy, community development, public health, land conservation, community food security, global and local activism, agriculture education, food business, and small-scale farming. 

COA does not have a formal system for designating minors or concentrations within its one academic program in Human Ecology.  Nevertheless, it does designate several programs.  A program at COA is an interdisciplinary academic area in which the college has intentially chosen to create sufficient depth and breadth to allow students to gain a broad range of experiences and skills so they may pursue a career in this area.  Sustainable Food Systems is one such program.",http://coa.edu/academics/areas-of-study/farming-food-systems/,Sustainable Business,"At COA, we teach how the power of environmentally and socially focused strategies bring about positive change in the world, while also strengthening the enterprise itself.  The Sustainable Business program at COA includes both for-profit and non-profit ventures.

COA does not have a formal system for designating minors or concentrations within its one academic program in human ecology.  Nevertheless, it does designate several programs.  A program at COA is an interdisciplinary academic area in which the college has intentionally chosen to create sufficient depth and breadth to allow students to gain a broad range of experiences and skills so they may pursue a career in this area.  Sustainable Business is one such program.",http://coa.edu/academics/areas-of-study/sustainable-business/,Field Ecology and Natural History,"Students focusing on Field Ecology & Natural History choose a set of foundational courses that afford a solid base for advanced studies. In all biology classes, we emphasize the importance of understanding the organism in its natural environment and the role humans have played in shaping that environment.  COA takes an ecological approach throughout the curriculum: students discover interrelationships between organisms and their environments. Unlike at most other colleges, sciences at COA are not insulated from other areas of study. At COA, we believe that historical, aesthetic, economic, political, and literary analysis and modes of thought enhance the scientific method. Students are therefore encouraged to design a course of study synthesizing knowledge from different disciplines.  Students also have opportunities to get involved in environmental politics and conservation policy.

COA does not have a formal system for designating minors or concentrations within its one academic program in human ecology.  Nevertheless, it does designate several programs.  A program at COA is an interdisciplinary academic area in which the college has intentionally chosen to create sufficient depth and breadth to allow students to gain a broad range of experiences and skills so they may pursue a career in this area.  Field Ecology and Conservation Biology is one such program.",http://coa.edu/academics/areas-of-study/field-ecology-natural-history/,"Climate Change & Energy: http://coa.edu/academics/areas-of-study/climate-change-energy/

Environmental Law & Politics: http://coa.edu/academics/areas-of-study/environmental-law-politics/

Community Planning & Ecological Policy: http://coa.edu/academics/areas-of-study/community-planning-ecological-policy/",--
Colorado College,2016-02-29,2016-02-29 16:10:04,Ian.Johnson@ColoradoCollege.edu,2.0,Pursuing,True,Environmental Program,"The Colorado College Environmental Program prepares students to understand their connection to the environment, acquire the skills to explore scientific and human interrelationships in the global ecosystem, and pursue interdisciplinary approaches to problem solving. The program offers two integrated majors Environmental Science and Environmental Policy, disciplinary tracks in Environmental Chemistry and Environmental Physics, and a thematic Environmental Issues minor.",http://www.coloradocollege.edu/academics/dept/environmentalprogram/,--,,--,--,,--,,True,Environmental Issues,"This Environmental Issues minor is intended to provide a foundation for understanding the interdisciplinary nature of environmental problems and opportunities. This interdisciplinary minor draws from economic, political science, philosophy, sociology, and natural science courses.",https://www.coloradocollege.edu/academics/dept/environmentalprogram/requirements/environmental-minor.dot,--,,--,--,,--,,"A sustainability certificate program is under development, to be introduced in the 2016-2017 academic year. The program combines interdisciplinary academic learning with a self-directed action-based capstone project addressing sustainability on campus or in the local community."
Colorado State University,2015-12-16,2015-12-16 16:39:14,tonie.miyamoto@colostate.edu,2.0,Pursuing,True,Ecosystem Science and Sustainability,"The demand for professionals who understand and can manage natural resources to benefit current and future generations is growing rapidly.  The Ecosystem Science and Sustainability degree program provides students with the knowledge and ability to integrate the latest science into real-world decision making.  Our affiliation with CSU's Natural Resource Ecology Laboratory, with a 45-year history of world-class ecosystem research, gives undergraduate students opportunities to gain hands-on research experience while developing solutions to today’s most pressing challenges. 

Learn about the challenges humans face in sustainably managing ecosystem services, but also about the amazing ways in which organisms interact with their environments to form complex ecosystems, and cutting-edge integrative solutions for sustainability. 

Students begin their degree with core courses that build a strong foundation in the physical and natural sciences.  Courses in ecosystem science put that core understanding into the context of natural resources, with coursework in the classroom, laboratory, and field. 
",http://warnercnr.colostate.edu/ess-undergraduate-study/degree-tracks/565-ess-degree-track-ess/667-ess-ess-degree,"Fish, Wildlife and Conservation Biology","Wildlife rules in this major with three concentrations; Wildlife Biology, Fisheries and Aquatic Sciences, and Conservation Biology. 

We were the first academic program to emphasize the importance of incorporating public input and two-way communication in decision-making for wildlife policy. Our program has an international reputation for developing new quantitative methods in applied ecology and conservation biology. Results of these initiatives have often had important policy implications. Our faculty have worked to remediate the toxic effects of mining wastes, pesticides, and other contaminants in aquatic and terrestrial habitats and food webs.

",http://warnercnr.colostate.edu/fwcb-undergraduate-study/undergraduate-program,Natural Resources Management,"This degree allows students to gain a broad education in the Natural Resources through diverse coursework from all four departments. Students specialize by choosing from one of WCNR's 7 minors or from the 60+ minors available at CSU.

The goal of the natural resources management major is to provide students with a broad-based understanding of the interconnectedness of social, political, and ecological systems. This knowledge will enable students to design sustainable solutions to address natural resource conservation and management problems. Students will learn about natural resource stewardship in both theory and practice, with an eye toward designing systems that are adaptable and resilient in light of the social and ecological complexity and change that characterize today’s challenges. ",http://warnercnr.colostate.edu/frs-undergraduate-study/degree-tracks,"The School of Global Environmental Sustainably lists 19 majors offered by almost every college at CSU which are focused on various aspects of sustainability:
http://sustainability.colostate.edu/education/csu-programs-undergraduate-students",True,Interdiciplinary Minor in Organic Agriculture,"This program is for agriculture and horticulture students considering a career in organic food production, or for any student concerned about the environmental and sociological impacts of conventional agricultural practices and interested in alternative approaches. 

Organic food and fiber production without the use of synthetic pesticides or chemical fertilizers is the fastest-growing sector of the agricultural industry, fueled by consumer demand in both North America and Europe. The Interdisciplinary Studies Program in Organic Agriculture at Colorado State University provides a unique opportunity to study the science of organic production.",http://organic.colostate.edu/,Environmental Affairs Minor,The Environmental Affairs program is designed for students of all majors who have a particular interest in environmental topics. The program's core in the social sciences and humanities is supplemented with science and elective courses. It provides undergraduate students with an opportunity to draw upon Colorado State University's environmental expertise as they broaden their education.,http://environmental.colostate.edu/index,Minor in Global Environmental Sustainability,The Global Environmental Sustainability Minor offers students in every department a curriculum that enhances their major with an understanding of the issues of sustainability and provides students with the tools to bring sustainability into their career paths.,http://sustainability.colostate.edu/education/minor-global-environmental-sustainability,"There are at least 7 minors in Sustainability at CSU:
http://sustainability.colostate.edu/education/csu-programs-undergraduate-students
",--
Columbia University,2016-01-13,2016-01-13 14:27:19,as3215@columbia.edu,2.0,Pursuing,True,Sustainable Development (B.A.),"The program provides a unique experience, comprising classes specifically designed for sustainable development students and developed by experienced faculty and practitioners. The program provides students with a well-rounded, interdisciplinary education that is geared to the real and complex challenges of sustainable development and our emerging understanding of how to address them. Students will explore how to move toward a trajectory of sustainability that will allow future generations to pursue further progress in human well-being without causing irreparable harm to the planet. Study abroad and internships are strongly encouraged, particularly as a basis for thesis research and to provide students with practical experience early in their professional development.",http://sdev.ei.columbia.edu/,Environmental Biology (B.A.),"The Environmental Biology (EB) major provides students with a strong foundation in areas of organismal biology including evolution, systematics, ecology, population biology, behavior, and biodiversity conservation, as well as an exposure to social sciences such as economics and government. All majors complete an environmental biology research internship, that serves as the basis for the senior thesis. The major provides the solid academic grounding and necessary training to enter the rapidly evolving environmental work force or to pursue graduate studies.",http://www.columbia.edu/cu/e3b/undergrad_requirements.html,Earth and Environmental Science (B.S.),"The undergraduate major in earth and environmental sciences provides an understanding of the natural functioning of our planet and considers the consequences of human interactions with it. The program for majors aims to convey an understanding of how the complex earth system works at a level that will encourage students to think creatively about earth system processes and how to address multidisciplinary environmental problems. The breadth of material covered provides an excellent background for those planning to enter the professions of law, business, diplomacy, public policy, teaching, journalism, etc. At the same time, the program provides sufficient depth so that graduates will be prepared for graduate school in the earth sciences. The program can be adjusted to accommodate students with particular career goals in mind.",http://eesc.columbia.edu/programs/undergraduate-program,"B.S. in Earth and Environmental Engineering http://eee.columbia.edu/degrees-offered
 B.A. Environmental Biology, http://envsci.barnard.edu/majors/environmental-biology
B.A. Environmental Science, Barnard http://envsci.barnard.edu/majors/environmental-science
B.A. Environmental Policy, Barnard http://envsci.barnard.edu/majors/environmental-policy",True,Undergraduate Special Concentration in Environmental Biology,"Columbia offers a concentration in Environmental Biology for students whose main academic focus is elsewhere (e.g. pre-law, economics, chemistry), but who wish to pursue some organized study in our field. The concentration includes fewer introductory and upper division courses, no internship, and no senior seminar.The concentration differs from the major in omitting calculus, physics, the policy course, and the senior seminar with thesis project.",http://www.columbia.edu/cu/e3b/undergrad_requirements.html,Undergraduate Concentration in Sustainable Development,"The special concentration is intentionally more flexible than the major, given that students have their major classes as well. However, its structure allows students to benefit from the program’s cross-disciplinary courses and to build the expertise that will allow them to address the fundamental issue of how to move toward a trajectory of sustainability.A minimum of nine courses and a practicum are required for the special concentration. ",http://sdev.ei.columbia.edu/,Undergraduate Concentration in Environmental Science,"The concentration in environmental science and the concentration in earth science are designed to give students an understanding of how the Earth works and an introduction to the methods used to investigate earth processes, including their capabilities and limitations. Concentrators often join social professions (business, law, medicine, etc.) and take with them a strong scientific background. They take the same introductory courses as the majors, but fewer basic science and upper-level courses are required.",http://eesc.columbia.edu/programs/undergraduate-program,,--
Connecticut College,2016-02-28,2016-02-28 16:33:07,jstoffel@conncoll.edu,2.0,Pursuing,--,--,,--,--,,--,--,,--,,True,Social Justice as Sustainability Pathway,"The Sustainability and Social Justice Pathway is premised on the belief that hidden within the many conventional interpretations of “sustainability” are a number of contradictions that require our collective rethinking. Sustainability has been defined in many different ways and is often narrowly focused on either the persistence of an organization (and its financial viability) over time or on ensuring that natural resources are available into the future. However, in a holistic sense, the concept of sustainability must include an awareness of social justice and how it connects with the economic and environmental aspects of sustainability that are more commonly considered. Together, students, staff and faculty are invited to begin a journey that “unlearns” our most counter productive ideas about what constitutes a “more sustainable world.”",https://www.conncoll.edu/connections/,--,,--,--,,--,,--
